1
6,6
168,240,240
11550,19350,20502,20502
1448370,2581230,2845950,2868990,2868990
286250580,516934800,579614760,588577320,589130280,589130280
81791297280,146131708590,163919785050,167017686570,167341698090,167357180970,167357180970
31881144127140,55796372716140,62029227679020,63190316398860,63343452887820,63356159171340,63356654623500,63356654623500
16253688428415900,27802283905679220,30511182818323620,31010651158272660,31083799175270100,31091653373214420,31092194964356820,31092212800634580,31092212800634580
10497383432495050752,17575716799879315456,19031953043860856832,19283996903239991296,19321983682613522432,19326639977972191232,19327063683395244032,19327088713638367232,19327089427089477632,19327089427089477632
8375494184165570510848,13766296409228510756864,14728729164905099296768,14879439132573191634944,14901590671934617550848,14904468488751847309312,14904773763148810289152,14904797924827447951360,14904799174288432168960,14904799205680281026560,14904799205680281026560
8089718515960514080669696,13094377229380818315509760,13869865746727848151875584,13977177450243966243962880,13991941895447111079559168,13993870341810737054220288,13994092096827408125001728,13994112891918842471645184,13994114350125645373112320,13994114417210028059525120,13994114418716835730948096,13994114418716835730948096
9302296771299220739491627008,14870348270177037473854521344,15624411346547565283124445184,15715540889747458432092340224,15726919347805407324378497024,15728352536317156826181271552,15728522260386316428106530816,15728539819411019781638193152,15728541297156279187837812736,15728541390246917137632329728,15728541394105037468800647168,15728541394183390866419220480,15728541394183390866419220480
12557178935403176217378507718656,19871337951472807514635405099008,20746100537729948537395762692096,20838243146229730870899834355712,20848464513009100639857002151936,20849664310041863256242615484416,20849804777801503400096578928640,20849820032354290861939519127552,20849821468622391623384007966720,20849821578348741462985113862144,20849821584626295472777966125056,20849821584863058712388087840768,20849821584867445218425146703872,20849821584867445218425146703872
